activity,recording,windowStart,windowEnd,samples,target,accelMagnitudeStd,gyroMagnitudeStd,accelMagnitudeRange,gyroMagnitudeRange,meanAccelJerk,maxAccelJerk,dominantAccelFrequency,dominantFrequencyPowerRatio,motionBandPower,accelRegularity
WALKING_IN_PLACE,1,1.0,3.0,34,1,0.09956175597384345,26.191772744806162,0.4099999999999999,92.45,1.0375272592555171,2.5423728813559334,0.9863701578192253,0.4260742416995622,4.831112275111679,0.12735464291049392
WALKING_IN_PLACE,1,3.0,5.0,33,1,0.08867248681161125,23.217918371744446,0.2899999999999999,84.33999999999999,0.8540928614429923,3.389830508474564,1.5238820896233156,0.7061593280328209,3.550955813820068,0.14501117969690608
WALKING_IN_PLACE,1,5.0,7.0,34,1,0.10213338520631941,28.74580760917679,0.33999999999999997,103.91,0.9287021366765724,2.666666666666647,1.479555236728838,0.39697589719272414,4.929456053663609,0.29112781074614197
WALKING_IN_PLACE,1,7.0,9.0,33,1,0.10540228590157916,31.015321969598663,0.42999999999999994,104.94,1.1332184287302032,3.220338983050886,1.5238820896233156,0.4606138020077864,4.931112766296807,0.20803727615372067
WALKING_IN_PLACE,1,9.0,11.0,34,1,0.10139511259489524,30.73488661283471,0.3799999999999999,95.77,0.9675935563586319,2.8813559322033373,1.479555236728838,0.6926183168760494,4.731442672548534,0.3918143590230923
WALKING_IN_PLACE,1,11.0,13.0,33,1,0.060256568061003615,26.261893586127965,0.23999999999999988,101.58,0.7700677850328809,2.203389830508437,1.0164538466425261,0.4179813360260409,1.205890413609748,0.18235618706028417
WALKING_IN_PLACE,1,13.0,15.0,34,1,0.08171020189318838,24.099094349018735,0.33999999999999997,87.63,0.8374646717241866,2.4999999999999796,1.4780531501940875,0.7174417977497277,3.20461768857142,0.42860708632191546
WALKING_IN_PLACE,1,15.0,17.0,33,1,0.08951455653153652,25.0715966299667,0.33999999999999997,88.5,1.0571151129943466,2.6666666666666434,1.5254802879344027,0.8535368708421357,2.976765079958893,0.45948506379402565
WALKING_IN_PLACE,1,17.0,19.0,34,1,0.08213047683359384,25.952487530033412,0.33999999999999997,96.10000000000001,0.9615704137793645,3.3333333333334054,1.480307425461286,0.4680053239446076,2.8040720809336457,0.3988906231022873
WALKING_IN_PLACE,1,19.0,21.0,34,1,0.08014908254325778,21.980573744680292,0.3599999999999999,84.1,0.791822083014076,3.6666666666665253,1.4788038120276035,0.43227485647866876,2.570051069457298,0.08409879437904982
WALKING_IN_PLACE,1,21.0,23.0,33,1,0.0973911296760521,27.73295156947455,0.3799999999999999,101.49,1.0381500648328246,3.389830508474719,1.5238820896233132,0.3231441411021297,4.098172196449028,0.18460140654502274
WALKING_IN_PLACE,2,1.0,3.0,34,1,0.12818165364895218,32.50643050037073,0.5200000000000001,127.69999999999999,1.3907701924631921,3.2203389830508518,1.4773032500671497,0.26345980047455664,7.6727515456713515,0.2939324463312757
WALKING_IN_PLACE,2,3.0,5.0,33,1,0.15943598938365142,38.3933568873082,0.6900000000000001,137.51,1.5354351903306482,7.500000000000048,1.5191075243294563,0.3991783081536321,11.003439509118554,0.34820899022082447
WALKING_IN_PLACE,2,5.0,7.0,33,1,0.13453999442920347,35.05983077637359,0.49,130.69,1.273444012225618,4.067796610169541,1.5199012064215829,0.536799525985539,8.324630974789473,0.47222842261904757
WALKING_IN_PLACE,2,7.0,9.0,34,1,0.14953821652237279,39.91709357117011,0.5800000000000001,155.94,1.671432300218075,5.33333333333329,1.9647535127411289,0.43894334259743084,9.568101973402577,0.4217884468304479
WALKING_IN_PLACE,2,9.0,11.0,33,1,0.16400463609653548,37.531055514165146,0.6300000000000001,138.8,1.6500199708252312,5.245901639344268,1.5183146707155057,0.6239117156269108,13.149330591999066,0.34759287088298313
WALKING_IN_PLACE,2,11.0,13.0,34,1,0.1307739140998561,35.51068238443616,0.45999999999999996,121.05,1.2150667553557275,3.770491803278692,1.476554110488009,0.839086380948748,8.894443107028065,0.4512602321615758
WALKING_IN_PLACE,2,13.0,15.0,33,1,0.12964102446747727,37.32429811712098,0.45000000000000007,137.36,1.3852864221543038,4.499999999999963,1.5206957182911196,0.6731761159858357,6.680763533361242,0.558474884674441
WALKING_IN_PLACE,2,15.0,17.0,34,1,0.15516956903887227,39.353794553527436,0.6200000000000001,126.92,1.610299999158021,5.423728813559227,1.4810603793908197,0.3533292112973592,12.417624139881962,0.39240434099247856
WALKING_IN_PLACE,2,17.0,19.0,33,1,0.15074531699816704,40.537964183325215,0.65,158.64000000000001,1.6898309775544291,4.4999999999998295,1.5246807699637905,0.7492279905340609,9.883777681179929,0.47993137226809723
WALKING_IN_PLACE,2,19.0,21.0,34,1,0.13914127395437725,37.84907625613744,0.55,126.16,1.5409625569392253,3.7288135593221936,1.479555236728838,0.4768970361533108,8.785201149915611,0.3895176604633498
WALKING_IN_PLACE,2,21.0,23.0,33,1,0.1683567204112199,37.895704135418725,0.6800000000000002,137.26999999999998,1.7599043715847016,4.833333333333435,1.5246807699637905,0.5519389263811094,13.431986340393735,0.4150288759704763
WALKING_IN_PLACE,2,23.0,25.0,34,1,0.13012138330982984,29.64231593714714,0.52,112.77000000000001,1.419179289421031,4.000000000000085,1.478803812027606,0.6047050719662965,8.799137183911938,0.4703804149374601
WALKING_IN_PLACE,2,25.0,27.0,33,1,0.13284207018355282,36.15065890931442,0.4900000000000001,129.15,1.5404539455404331,4.000000000000087,1.5246807699637879,0.3923489943900987,6.9697364315656865,0.3086657621927372
WALKING_IN_PLACE,2,27.0,29.0,34,1,0.15760974097379574,37.30292678017077,0.68,134.45,1.6024077956559204,3.3898305084745153,1.4788038120276035,0.7415839650684628,11.926969440683951,0.2287075047319389
WALKING_IN_PLACE,2,29.0,31.0,33,1,0.11869894630145719,36.91315609050496,0.5800000000000001,114.63999999999999,1.320103385199595,3.559322033898459,2.0318427861644177,0.49678385140268955,5.544587919058889,0.2479771185794622
WALKING_IN_PLACE,3,1.0,3.0,34,1,0.13544109663406984,29.413882453169258,0.54,104.6,1.385978428351309,3.3333333333333317,0.9863701578192251,0.4111525089472757,9.450101337996097,0.3704051572529419
WALKING_IN_PLACE,3,3.0,5.0,33,1,0.10975638772510984,31.138717640131055,0.45999999999999996,116.37,1.3159610607831667,3.333333333333305,1.5270818420424717,0.5958466287114663,5.093282544436765,0.3924758231315332
WALKING_IN_PLACE,3,5.0,7.0,34,1,0.14371763213143726,38.649890648555896,0.61,147.54,1.5601892781664959,4.833333333333365,1.480307425461288,0.5896023842571325,10.477731754595867,0.20526028972625038
WALKING_IN_PLACE,3,7.0,9.0,33,1,0.11929160358144297,30.135379858099007,0.48,98.88000000000001,1.5923636195239383,4.499999999999963,1.5246807699637892,0.6365480871941462,3.40683676288242,0.3806009374248388
WALKING_IN_PLACE,3,9.0,11.0,34,1,0.13354754994714732,37.230501500181504,0.44999999999999996,135.48,1.3065989149623458,3.9999999999999667,0.9858692080184032,0.5293245908540473,9.360241048286166,0.3778307318503912
WALKING_IN_PLACE,3,11.0,13.0,33,1,0.1407131253818531,37.467598404637606,0.6100000000000001,141.84,1.6069408747800398,4.833333333333437,1.5246807699637892,0.41158903913272143,6.917534233048164,0.2581190714700897
WALKING_IN_PLACE,3,13.0,15.0,34,1,0.15567800145944932,41.01762822145491,0.6599999999999999,160.64,1.545039166322855,5.499999999999954,1.4803074254612874,0.6608582734410852,11.872815510829158,0.2825462733172251
WALKING_IN_PLACE,3,15.0,17.0,33,1,0.18413573465977767,48.09090599377508,0.7299999999999999,168.75,2.152035866444381,5.084745762711927,1.5254802879344027,0.3650548449920722,14.254984558236657,0.362858508494362
WALKING_IN_PLACE,3,17.0,19.0,34,1,0.1915101160969677,40.12924131665734,0.7699999999999999,130.82,1.8668120493627576,4.745762711864605,1.4803074254612885,0.7312006720177574,14.391951257168213,0.405039019966724
