recording,recordingGroup,activityLabel,target,windowNumber,windowStartSeconds,windowEndSeconds,sampleCount,accelMagnitudeStd,gyroMagnitudeStd,accelMagnitudeRange,gyroMagnitudeRange,meanAccelJerk,maxAccelJerk,dominantAccelFrequency,dominantFrequencyPowerRatio,motionBandPower,accelRegularity,accelMagnitudeMean,accelMagnitudeMedian,accelMagnitudeIQR,accelMagnitudeP90,accelMagnitudeP95,dynamicAccelMean,dynamicAccelP90,dynamicAccelP95,dynamicAccelRMS,scalarJerkStd,scalarJerkP90,scalarJerkP95,scalarJerkAbove3Rate,scalarJerkAbove5Rate,vectorJerkMean,vectorJerkStd,vectorJerkP90,vectorJerkP95,vectorJerkMax,vectorJerkAbove5Rate,angularAccelerationMean,angularAccelerationP90,gyroMagnitudeMean,gyroMagnitudeP90,gyroMagnitudeP95,accelGyroCorrelation,gyroAccelStdRatio,jerkRegularity,gyroRegularity,jerkDominantFrequency,jerkDominantPowerRatio,jerkMotionBandPower,accelSpectralEntropy,accelLowBandPowerRatio,accelStepBandPowerRatio,accelUpperBandPowerRatio,accelHighFrequencyPowerRatio,accelSecondHarmonicRatio,impactPeakCount,impactPeakRate,impactIntervalMean,impactIntervalStd,impactIntervalCV,impactPeakMean,accelDirectionChangeMean,accelDirectionChangeStd,accelDirectionChangeP90
01_normal,WALKING__01_normal,WALKING,1,0,1.0,3.0,40,0.13139195375981177,27.924258289624113,0.596,117.74000000000001,1.4851282051282046,5.479999999999971,1.5,0.4806681921923767,11.570553808181703,0.30254708326081947,1.017525,1.012,0.12675000000000003,1.2331,1.2354,0.099275,0.23580000000000012,0.2562999999999999,0.13091743581356916,1.2450974846528273,3.1480000000000143,3.9500000000000135,0.10256410256410256,0.02564102564102564,2.535594882713927,1.671929117732619,4.569156790225094,5.841437304900911,8.061439077484891,0.10256410256410256,696.259880796728,1029.3043527614686,71.343,105.908,121.77399999999996,0.5688170465695132,212.52639519061,0.10773371258459526,0.3587063476320132,0.5128205128205128,0.287768780779906,1301.1934796962219,0.623633021582604,0.05070648940509501,0.5986176905085613,0.21800555447500017,0.1326702656113436,0.004067680487795686,5.0,2.631578947368421,0.3375,0.15478479684172244,0.45862162027177017,4.730133809429063,4.854418217102402,3.9930739695285804,8.648420546833842
01_normal,WALKING__01_normal,WALKING,1,1,3.0,5.0,40,0.17951415735898854,44.485166642578164,0.635,173.07,2.106153846153846,5.399999999999972,1.5,0.5777551377342264,22.350223589918404,0.43385523520783187,1.0472750000000002,1.0459999999999998,0.29499999999999993,1.2785,1.3280999999999998,0.15637500000000001,0.2866,0.3280999999999999,0.18345196919084844,1.4008655508284806,4.296000000000018,4.754000000000015,0.20512820512820512,0.02564102564102564,3.248593053668447,1.667840422874569,5.494972191200248,5.609539144312751,8.227393268830685,0.1794871794871795,781.9819008987117,1420.4066200053453,82.43525,139.161,154.87549999999993,0.43021963804483565,247.8086814825289,0.3258540098650987,0.2708990305480958,1.5384615384615383,0.5332924829975075,1449.8589575545661,0.5504694040869981,0.1670085084843882,0.6265335575824423,0.12016474770493052,0.08629318622823878,0.0015582168407210014,3.0,1.5789473684210524,0.6249999999999998,0.10606601717798207,0.1697056274847714,6.212594546868819,5.562861817081944,3.8623701073041126,10.449841614834499
01_normal,WALKING__01_normal,WALKING,1,2,5.0,7.0,40,0.2261184112305672,52.55845793934159,0.8790000000000001,215.89,2.283076923076924,8.780000000000033,1.5,0.4550259051141521,36.2115767381697,0.3437552415260606,1.05145,1.0470000000000002,0.3387500000000001,1.3450000000000002,1.4273500000000001,0.19075000000000003,0.3450000000000002,0.42735,0.22912529323494601,2.087121101883443,4.708000000000018,7.218000000000026,0.2564102564102564,0.07692307692307693,3.1420697946173,2.0368816389687985,5.5005789490527395,7.469768837353407,9.499663151922842,0.15384615384615385,842.7562648011177,1505.9587736133956,105.43375,162.887,188.7464999999999,0.3381365937695268,232.43776414893108,0.3228651414399625,0.20448412460580218,1.5384615384615383,0.6067158712392842,1787.208985557549,0.590703462005851,0.2997598590651907,0.5395853110104438,0.07826436573948042,0.08239046418488497,0.16429407149639735,3.0,1.5789473684210524,0.3250000000000002,0.1767766952966369,0.5439282932204209,7.52907780772573,4.581281394431384,2.478007570894442,7.507337354834652
01_normal,WALKING__01_normal,WALKING,1,3,7.0,9.0,40,0.16827445339880523,55.551896627480296,0.6960000000000001,203.17000000000002,2.2517948717948717,8.060000000000173,2.000000000000001,0.5093952929615917,17.520109917436162,0.5230061593607828,1.079375,1.0995,0.261,1.2871,1.32175,0.153225,0.2870999999999999,0.32175,0.1841433544823163,1.7575684036922217,4.4079999999999995,4.981999999999931,0.2564102564102564,0.05128205128205128,3.4094004139509195,2.060058531850497,6.833812142806542,7.306211899198461,8.353035376436699,0.1794871794871795,840.1478242899539,1606.8513135141004,91.44375,160.22000000000003,189.2645,0.31160626324383195,330.12673941554294,0.20095051271838166,0.4205708661034084,2.051282051282052,0.4022756894665881,1562.368023246873,0.6555250399756404,0.10285880676574126,0.6855621600160223,0.06637659765156159,0.14520243556667503,0.030127470406468536,4.0,2.1052631578947376,0.5333333333333332,0.07637626158259764,0.1432054904673706,6.446492027425364,5.575800145862971,4.036311923907706,10.67408195937955
01_normal,WALKING__01_normal,WALKING,1,4,9.0,11.0,40,0.11204051465017877,43.959593094842255,0.42499999999999993,152.07,1.5605128205128194,6.48000000000014,1.0000000000000004,0.26106085274704127,7.242092030804891,0.20900177706967316,1.027,1.039,0.16199999999999992,1.1678000000000002,1.2073,0.09474999999999997,0.1678000000000001,0.20729999999999993,0.11387822443294415,1.4297845783966154,3.392000000000045,4.153999999999941,0.1282051282051282,0.05128205128205128,2.5749895555225706,1.6759201931840513,4.66752859805825,5.675652687892685,7.321038177745167,0.07692307692307693,758.2424382874979,1205.778281011418,86.09175,136.707,146.39849999999998,0.21460649280058525,392.35443742914043,0.3614401319486711,0.3554592482317975,1.025641025641026,0.388290830241235,1509.9943813607385,0.7636046690754446,0.41321257232975894,0.3667990667240624,0.05881382427797368,0.16117453666820483,0.9076630016829602,4.0,2.1052631578947385,0.4166666666666667,0.2466441431158118,0.5919459434779483,5.068586125391168,5.074609778691318,3.289274818386435,9.616511154255507
01_normal,WALKING__01_normal,WALKING,1,5,11.0,13.0,40,0.1455170247331201,44.32929847843008,0.529,161.9,1.773333333333332,5.119999999999927,1.5000000000000007,0.5093933717653851,13.988322780541361,0.40948011990560196,1.037975,1.0255,0.22599999999999987,1.2483,1.25515,0.12042499999999998,0.2483,0.25514999999999993,0.14862006930424976,1.3895045185308104,3.9840000000000555,4.408000000000078,0.15384615384615385,0.02564102564102564,2.7141880250599355,1.7757026127573812,5.238592472958965,6.137422106898063,7.347952095652128,0.1282051282051282,746.7903306714398,1311.506292106037,88.553,137.79200000000003,149.80949999999996,0.19075005519184557,304.633073413441,0.25485628388671316,0.31615040581159753,1.538461538461539,0.4950048341534244,1279.5114326784117,0.5933778082849103,0.2949188300323148,0.5264374283777321,0.06509966823171653,0.11354407335823649,0.020490356569077633,3.0,1.5789473684210538,0.5750000000000002,0.10606601717798238,0.18446263857040407,5.829154072473159,4.718198518206707,3.9596174703263283,10.71792956734626
01_normal,WALKING__01_normal,WALKING,1,6,13.0,15.0,40,0.21446065923374935,51.56569750054728,0.985,215.36999999999998,2.6789743589743584,11.759999999999835,2.000000000000001,0.46290238555017577,25.040690525202955,0.31523809783973344,1.0678999999999998,1.0545,0.22950000000000015,1.3423,1.3662500000000002,0.17205,0.3633,0.37115,0.222382440853589,2.4029497167919422,4.759999999999934,6.085999999999954,0.358974358974359,0.07692307692307693,3.774687070775227,2.698809499678918,6.7033769446069,7.433148061751423,12.949254804814334,0.23076923076923078,868.4631646138898,1454.4231073512892,93.5495,150.701,195.90499999999992,0.29296913093546784,240.44362115078525,0.25115576210220525,0.17945150169637047,1.538461538461539,0.5672277927068281,3210.101299364885,0.6864222954391211,0.1580619406897897,0.5822156151697567,0.11915861292120093,0.14056383121925264,0.016471124496908938,3.0,1.5789473684210538,0.6499999999999995,0.0707106781186545,0.10878565864408393,8.53545457131804,5.9901830019323885,3.9340841181412443,11.586944738779986
01_normal,WALKING__01_normal,WALKING,1,7,15.0,17.0,40,0.16070564746829877,48.93565506723062,0.708,186.29000000000002,2.163589743589739,7.459999999999894,1.5000000000000007,0.42038379253995245,13.714203844603528,0.44463369140924597,1.04245,1.0194999999999999,0.20299999999999996,1.2309,1.2935999999999996,0.12314999999999998,0.25160000000000005,0.29359999999999964,0.16426396439876884,2.077376238861599,5.2559999999999265,6.384000000000314,0.23076923076923078,0.1282051282051282,3.327878142943024,2.590073437097244,6.947583427789977,7.428573037301604,12.43926042817641,0.23076923076923078,763.3353865438498,1306.054582058741,85.06625,157.61600000000004,171.612,0.319562350355751,304.5048872777405,0.23187755479002306,0.3723802722306141,1.538461538461539,0.6786616212825843,2861.4442616786614,0.696019496900685,0.1103134385854413,0.6506805890231968,0.022397977081744767,0.2166079953096171,0.02228434070172345,4.0,2.1052631578947385,0.4166666666666667,0.2565800719723434,0.6157921727336241,8.12961082600562,5.7672689138251885,4.754380035782373,12.046135104639484
01_normal,WALKING__01_normal,WALKING,1,8,17.0,19.0,40,0.16544070128304472,41.15078078129571,0.698,146.02,2.1748717948717875,6.439999999999905,1.5000000000000007,0.5106717469862062,17.34171158755343,0.3901968365112365,1.0356999999999998,1.0295,0.237,1.2593999999999999,1.26575,0.13540000000000002,0.2651,0.2992499999999999,0.16721498138623822,1.5798182303751167,4.211999999999941,6.075999999999913,0.20512820512820512,0.07692307692307693,3.436208203547618,1.866660782287919,6.062591573499436,6.635639145507365,9.131527802071108,0.1794871794871795,836.3669202226017,1330.893264682179,87.17475,138.912,144.69449999999995,0.3703494544287997,248.734322703896,0.3359982890503224,0.2541285197533928,1.538461538461539,0.5449950476130262,1139.7396655520042,0.6602104619699386,0.12296395060093619,0.5638015683256608,0.17362046180839097,0.13961401926501213,0.04034680895735262,4.0,2.1052631578947385,0.5166666666666669,0.1258305739211774,0.24354304629905293,6.559152931345048,6.102163253933385,4.097064548314043,12.79194543134346
01_normal,WALKING__01_normal,WALKING,1,9,19.0,21.0,40,0.16461606458043126,43.653740062844086,0.634,155.39,1.962051282051284,6.640000000000379,1.5000000000000007,0.366618948410112,17.760777544471136,0.359009161277564,1.03675,1.0430000000000001,0.20500000000000007,1.2433,1.2598999999999998,0.135,0.27640000000000003,0.2845999999999999,0.16664798228601507,1.427126630104578,3.47599999999995,3.7359999999999487,0.23076923076923078,0.02564102564102564,3.1811468667509573,1.7753952849277876,5.308856864975005,6.443505505832779,7.108670761823096,0.1794871794871795,736.2944429961574,1358.7178258416852,80.30125000000001,142.048,146.09899999999993,0.4259500195609552,265.18517602827825,0.3791138339535652,0.3349552482922533,1.538461538461539,0.6599227725163082,1261.1188200951908,0.6600221300290549,0.28086281485037795,0.5221575284537553,0.1268982814889424,0.0700813752069244,0.17476462847619934,4.0,2.1052631578947385,0.43333333333333357,0.16072751268321617,0.37090964465357557,5.57006937469354,5.7765438478290205,4.0007041165878805,11.857401855386534
