model,activityLabel,recording,recordingGroup,target,windowAccuracy,meanWalkingProbability,predictedWalkingWindows,totalWindows,recordingPrediction,recordingCorrect
Baseline RF - 10 features,WALKING,21_large_arm_swings_03,WALKING__21_large_arm_swings_03,1,0.7857142857142857,0.6346112264556636,11,14,1,True
Enhanced RF,ARM_SWING,01_normal_walking_cadence,ARM_SWING__01_normal_walking_cadence,0,1.0,0.01109481292517007,0,14,0,True
Enhanced RF,ARM_SWING,02_slow_cadence,ARM_SWING__02_slow_cadence,0,0.9285714285714286,0.1018454506802721,1,14,0,True
Enhanced RF,ARM_SWING,03_fast_cadence,ARM_SWING__03_fast_cadence,0,0.7142857142857143,0.30432716836734697,4,14,0,True
Enhanced RF,ARM_SWING,04_small_swing,ARM_SWING__04_small_swing,0,1.0,0.004962159863945577,0,14,0,True
Enhanced RF,ARM_SWING,05_large_swing,ARM_SWING__05_large_swing,0,0.42857142857142855,0.521139314058957,8,14,1,False
Enhanced RF,ARM_SWING,06_relaxed_swing,ARM_SWING__06_relaxed_swing,0,1.0,0.007166170634920635,0,14,0,True
Enhanced RF,ARM_SWING,07_irregular_swing,ARM_SWING__07_irregular_swing,0,1.0,0.038927551594962306,0,14,0,True
Enhanced RF,ARM_SWING,08_very_walking-like,ARM_SWING__08_very_walking-like,0,1.0,0.15852869897959185,0,14,0,True
Enhanced RF,ARM_SWING,09_very_walking-like,ARM_SWING__09_very_walking-like,0,1.0,0.041567814625850345,0,14,0,True
Enhanced RF,ARM_SWING,10_very_walking-like,ARM_SWING__10_very_walking-like,0,1.0,0.009312925170068027,0,14,0,True
Enhanced RF,ARM_SWING,11_walking_like_torso_bounce,ARM_SWING__11_walking_like_torso_bounce,0,1.0,0.06088998724489796,0,14,0,True
Enhanced RF,ARM_SWING,12_walking_like_knee_bend,ARM_SWING__12_walking_like_knee_bend,0,0.8571428571428571,0.19588956207482994,2,14,0,True
Enhanced RF,ARM_SWING,13_walking_like_weight_shift,ARM_SWING__13_walking_like_weight_shift,0,1.0,0.02342517006802721,0,14,0,True
Enhanced RF,ARM_SWING,14_small_natural_swing,ARM_SWING__14_small_natural_swing,0,1.0,0.044612056841967555,0,14,0,True
Enhanced RF,ARM_SWING,15_slow_cadence_02,ARM_SWING__15_slow_cadence_02,0,1.0,0.011405399659863947,0,14,0,True
Enhanced RF,ARM_SWING,16_slow_cadence_03,ARM_SWING__16_slow_cadence_03,0,1.0,0.007821428571428571,0,14,0,True
Enhanced RF,ARM_SWING,17_fast_cadence_02,ARM_SWING__17_fast_cadence_02,0,1.0,0.07047189801436798,0,14,0,True
Enhanced RF,ARM_SWING,18_fast_cadence_03,ARM_SWING__18_fast_cadence_03,0,1.0,0.13252253401360545,0,14,0,True
Enhanced RF,ARM_SWING,19_large_swing_02,ARM_SWING__19_large_swing_02,0,0.5714285714285714,0.38603043737099496,6,14,0,True
Enhanced RF,ARM_SWING,20_large_swing_03,ARM_SWING__20_large_swing_03,0,0.8571428571428571,0.2729314767573696,2,14,0,True
Enhanced RF,WALKING,01_normal,WALKING__01_normal,1,1.0,0.9448359905496181,14,14,1,True
Enhanced RF,WALKING,02_normal,WALKING__02_normal,1,1.0,0.9717819220801829,14,14,1,True
Enhanced RF,WALKING,03_slow,WALKING__03_slow,1,0.7857142857142857,0.5940075936094776,11,14,1,True
Enhanced RF,WALKING,04_fast,WALKING__04_fast,1,1.0,0.9155665650913346,14,14,1,True
Enhanced RF,WALKING,05_short_arm_swings,WALKING__05_short_arm_swings,1,1.0,0.9966161677897168,14,14,1,True
Enhanced RF,WALKING,06_large_arm_swings,WALKING__06_large_arm_swings,1,0.2857142857142857,0.41930607480060983,4,14,0,False
Enhanced RF,WALKING,07_relaxed_arms,WALKING__07_relaxed_arms,1,1.0,0.9960237451041023,14,14,1,True
Enhanced RF,WALKING,08_slightly_irregular_pace,WALKING__08_slightly_irregular_pace,1,1.0,0.9285191683523156,14,14,1,True
Enhanced RF,WALKING,09_normal,WALKING__09_normal,1,1.0,0.9885285017621507,14,14,1,True
Enhanced RF,WALKING,10_normal,WALKING__10_normal,1,1.0,0.9590327765724307,14,14,1,True
Enhanced RF,WALKING,11_arm_held_still,WALKING__11_arm_held_still,1,1.0,0.9957021837349398,14,14,1,True
Enhanced RF,WALKING,12_looking_at_phone,WALKING__12_looking_at_phone,1,1.0,0.9767235438290794,14,14,1,True
Enhanced RF,WALKING,13_sensor_hand_in_pocket,WALKING__13_sensor_hand_in_pocket,1,1.0,0.9965331752643624,14,14,1,True
Enhanced RF,WALKING,14_carrying_a_light_object,WALKING__14_carrying_a_light_object,1,1.0,0.9958443204395857,14,14,1,True
Enhanced RF,WALKING,15_frequent_gentle_turns,WALKING__15_frequent_gentle_turns,1,1.0,0.9566718575588131,14,14,1,True
Enhanced RF,WALKING,16_slow_02,WALKING__16_slow_02,1,1.0,0.857909126000879,14,14,1,True
Enhanced RF,WALKING,17_slow_03,WALKING__17_slow_03,1,0.7857142857142857,0.7367887967687075,11,14,1,True
Enhanced RF,WALKING,18_fast_02,WALKING__18_fast_02,1,1.0,0.9795039386966907,14,14,1,True
Enhanced RF,WALKING,19_fast_03,WALKING__19_fast_03,1,1.0,0.9560404818078393,14,14,1,True
Enhanced RF,WALKING,20_large_arm_swings_02,WALKING__20_large_arm_swings_02,1,0.9285714285714286,0.8140158196269376,13,14,1,True
Enhanced RF,WALKING,21_large_arm_swings_03,WALKING__21_large_arm_swings_03,1,0.8571428571428571,0.7324639507580422,12,14,1,True
Enhanced ExtraTrees,ARM_SWING,01_normal_walking_cadence,ARM_SWING__01_normal_walking_cadence,0,1.0,0.02057091643097147,0,14,0,True
Enhanced ExtraTrees,ARM_SWING,02_slow_cadence,ARM_SWING__02_slow_cadence,0,0.9285714285714286,0.12676514400534278,1,14,0,True
Enhanced ExtraTrees,ARM_SWING,03_fast_cadence,ARM_SWING__03_fast_cadence,0,0.7142857142857143,0.34807438968806437,4,14,0,True
